country,food_category,consumption,co2_emmission,category
Swaziland,Pork,2.43,8.6,Animal Products
Swaziland,Poultry,6.18,6.64,Animal Products
Swaziland,Beef,15.1,465.95,Animal Products
Swaziland,Lamb & Goat,1.94,67.94000000000001,Animal Products
Swaziland,Fish,1.26,2.01,Animal Products
Swaziland,Eggs,1.5,1.38,Animal Products
Swaziland,Milk - inc. cheese,56.6,80.61999999999999,Animal Products
Swaziland,Wheat and Wheat Products,37.15,7.08,Non-Animal Products
Swaziland,Rice,21.15,27.07,Non-Animal Products
Swaziland,Soybeans,0.55,0.25,Non-Animal Products
Swaziland,Nuts inc. Peanut Butter,6.44,11.4,Non-Animal Products
Latvia,Pork,34.96,123.74,Animal Products
Latvia,Poultry,20.53,22.05,Animal Products
Latvia,Beef,5.109999999999999,157.68,Animal Products
Latvia,Lamb & Goat,0.3399999999999999,11.91,Animal Products
Latvia,Fish,21.3,34.01,Animal Products
Latvia,Eggs,14.03,12.89,Animal Products
Latvia,Milk - inc. cheese,174.11,248.0,Animal Products
Latvia,Wheat and Wheat Products,72.13,13.76,Non-Animal Products
Latvia,Rice,2.21,2.83,Non-Animal Products
Latvia,Soybeans,0.04,0.02,Non-Animal Products
Latvia,Nuts inc. Peanut Butter,3.78,6.69,Non-Animal Products
Bosnia and Herzegovina,Pork,9.38,33.2,Animal Products
Bosnia and Herzegovina,Poultry,13.17,14.15,Animal Products
Bosnia and Herzegovina,Beef,9.12,281.42,Animal Products
Bosnia and Herzegovina,Lamb & Goat,0.47,16.459999999999997,Animal Products
Bosnia and Herzegovina,Fish,4.06,6.48,Animal Products
Bosnia and Herzegovina,Eggs,4.49,4.119999999999999,Animal Products
Bosnia and Herzegovina,Milk - inc. cheese,174.03,247.89,Animal Products
Bosnia and Herzegovina,Wheat and Wheat Products,93.56,17.84,Non-Animal Products
Bosnia and Herzegovina,Rice,1.88,2.41,Non-Animal Products
Bosnia and Herzegovina,Soybeans,1.48,0.6699999999999999,Non-Animal Products
Bosnia and Herzegovina,Nuts inc. Peanut Butter,2.0,3.54,Non-Animal Products
Fiji,Pork,4.31,15.26,Animal Products
Fiji,Poultry,20.26,21.76,Animal Products
Fiji,Beef,8.96,276.48999999999995,Animal Products
Fiji,Lamb & Goat,5.9,206.62,Animal Products
Fiji,Fish,35.01,55.9,Animal Products
Fiji,Eggs,6.44,5.92,Animal Products
Fiji,Milk - inc. cheese,40.2,57.260000000000005,Animal Products
Fiji,Wheat and Wheat Products,84.22,16.06,Non-Animal Products
Fiji,Rice,45.620000000000005,58.38,Non-Animal Products
Fiji,Soybeans,0.3,0.14,Non-Animal Products
Fiji,Nuts inc. Peanut Butter,1.3,2.3,Non-Animal Products
South Korea,Pork,32.760000000000005,115.95,Animal Products
South Korea,Poultry,16.0,17.19,Animal Products
South Korea,Beef,14.53,448.37,Animal Products
South Korea,Lamb & Goat,0.14,4.9,Animal Products
South Korea,Fish,33.09,52.83,Animal Products
South Korea,Eggs,11.239999999999998,10.33,Animal Products
South Korea,Milk - inc. cheese,29.05,41.38,Animal Products
South Korea,Wheat and Wheat Products,50.84,9.7,Non-Animal Products
South Korea,Rice,85.17999999999999,109.0,Non-Animal Products
South Korea,Soybeans,8.350000000000001,3.76,Non-Animal Products
South Korea,Nuts inc. Peanut Butter,4.88,8.639999999999999,Non-Animal Products
Poland,Pork,46.190000000000005,163.49,Animal Products
Poland,Poultry,27.41,29.44,Animal Products
Poland,Beef,2.32,71.59,Animal Products
Poland,Lamb & Goat,0.02,0.7,Animal Products
Poland,Fish,10.49,16.75,Animal Products
Poland,Eggs,7.53,6.92,Animal Products
Poland,Milk - inc. cheese,205.39,292.56,Animal Products
Poland,Wheat and Wheat Products,108.83,20.75,Non-Animal Products
Poland,Rice,0.95,1.22,Non-Animal Products
Poland,Soybeans,0.06,0.03,Non-Animal Products
Poland,Nuts inc. Peanut Butter,2.23,3.95,Non-Animal Products
Saudi Arabia,Pork,0.0,0.0,Animal Products
Saudi Arabia,Poultry,49.05,52.690000000000005,Animal Products
Saudi Arabia,Beef,6.45,199.03,Animal Products
Saudi Arabia,Lamb & Goat,6.54,229.03,Animal Products
Saudi Arabia,Fish,11.99,19.14,Animal Products
Saudi Arabia,Eggs,5.37,4.930000000000001,Animal Products
Saudi Arabia,Milk - inc. cheese,83.64999999999999,119.15,Animal Products
Saudi Arabia,Wheat and Wheat Products,89.47,17.06,Non-Animal Products
Saudi Arabia,Rice,36.02,46.09,Non-Animal Products
Saudi Arabia,Soybeans,0.05,0.02,Non-Animal Products
Saudi Arabia,Nuts inc. Peanut Butter,3.23,5.72,Non-Animal Products
Botswana,Pork,0.74,2.62,Animal Products
Botswana,Poultry,5.33,5.73,Animal Products
Botswana,Beef,7.85,242.23,Animal Products
Botswana,Lamb & Goat,3.76,131.67,Animal Products
Botswana,Fish,3.98,6.35,Animal Products
Botswana,Eggs,1.95,1.79,Animal Products
Botswana,Milk - inc. cheese,117.74,167.70999999999998,Animal Products
Botswana,Wheat and Wheat Products,38.2,7.28,Non-Animal Products
Botswana,Rice,7.06,9.03,Non-Animal Products
Botswana,Soybeans,1.16,0.52,Non-Animal Products
Botswana,Nuts inc. Peanut Butter,1.08,1.91,Non-Animal Products
Macedonia,Pork,10.35,36.63,Animal Products
Macedonia,Poultry,18.77,20.16,Animal Products
Macedonia,Beef,7.689999999999999,237.3,Animal Products
Macedonia,Lamb & Goat,0.94,32.92,Animal Products
Macedonia,Fish,5.470000000000001,8.729999999999999,Animal Products
Macedonia,Eggs,6.38,5.859999999999999,Animal Products
Macedonia,Milk - inc. cheese,157.93,224.96,Animal Products
Macedonia,Wheat and Wheat Products,104.8,19.99,Non-Animal Products
Macedonia,Rice,2.81,3.6,Non-Animal Products
Macedonia,Soybeans,0.46,0.21,Non-Animal Products
Macedonia,Nuts inc. Peanut Butter,5.87,10.39,Non-Animal Products
Hungary,Pork,34.93,123.63,Animal Products
Hungary,Poultry,23.78,25.54,Animal Products
Hungary,Beef,4.96,153.06,Animal Products
Hungary,Lamb & Goat,0.11,3.85,Animal Products
Hungary,Fish,4.930000000000001,7.87,Animal Products
Hungary,Eggs,12.45,11.44,Animal Products
Hungary,Milk - inc. cheese,159.05,226.55,Animal Products
Hungary,Wheat and Wheat Products,109.98,20.97,Non-Animal Products
Hungary,Rice,2.15,2.75,Non-Animal Products
Hungary,Soybeans,0.01,0.0,Non-Animal Products
Hungary,Nuts inc. Peanut Butter,0.64,1.13,Non-Animal Products
Trinidad and Tobago,Pork,8.92,31.57,Animal Products
Trinidad and Tobago,Poultry,58.27,62.59,Animal Products
Trinidad and Tobago,Beef,6.13,189.16,Animal Products
Trinidad and Tobago,Lamb & Goat,2.79,97.71,Animal Products
Trinidad and Tobago,Fish,20.54,32.8,Animal Products
Trinidad and Tobago,Eggs,4.2,3.86,Animal Products
Trinidad and Tobago,Milk - inc. cheese,103.8,147.85000000000002,Animal Products
Trinidad and Tobago,Wheat and Wheat Products,90.17,17.2,Non-Animal Products
Trinidad and Tobago,Rice,16.38,20.96,Non-Animal Products
Trinidad and Tobago,Soybeans,0.04,0.02,Non-Animal Products
Trinidad and Tobago,Nuts inc. Peanut Butter,3.78,6.69,Non-Animal Products
Tunisia,Pork,0.0,0.0,Animal Products
Tunisia,Poultry,18.5,19.87,Animal Products
Tunisia,Beef,5.53,170.64,Animal Products
Tunisia,Lamb & Goat,5.34,187.01,Animal Products
Tunisia,Fish,12.63,20.17,Animal Products
Tunisia,Eggs,7.67,7.05,Animal Products
Tunisia,Milk - inc. cheese,114.47,163.05,Animal Products
Tunisia,Wheat and Wheat Products,197.5,37.66,Non-Animal Products
Tunisia,Rice,1.07,1.37,Non-Animal Products
Tunisia,Soybeans,1.88,0.8500000000000001,Non-Animal Products
Tunisia,Nuts inc. Peanut Butter,6.34,11.22,Non-Animal Products
Egypt,Pork,0.02,0.07,Animal Products
Egypt,Poultry,14.43,15.5,Animal Products
Egypt,Beef,12.88,397.45,Animal Products
Egypt,Lamb & Goat,1.58,55.33,Animal Products
Egypt,Fish,21.46,34.260000000000005,Animal Products
Egypt,Eggs,4.59,4.22,Animal Products
Egypt,Milk - inc. cheese,59.46,84.69,Animal Products
Egypt,Wheat and Wheat Products,146.83,28.0,Non-Animal Products
Egypt,Rice,39.77,50.89,Non-Animal Products
Egypt,Soybeans,0.64,0.29,Non-Animal Products
Egypt,Nuts inc. Peanut Butter,1.82,3.22,Non-Animal Products
Mauritius,Pork,4.08,14.44,Animal Products
Mauritius,Poultry,38.51,41.37,Animal Products
Mauritius,Beef,5.99,184.84,Animal Products
Mauritius,Lamb & Goat,4.08,142.88000000000002,Animal Products
Mauritius,Fish,19.66,31.39,Animal Products
Mauritius,Eggs,6.319999999999999,5.81,Animal Products
Mauritius,Milk - inc. cheese,117.27,167.04,Animal Products
Mauritius,Wheat and Wheat Products,114.02,21.74,Non-Animal Products
Mauritius,Rice,45.56,58.3,Non-Animal Products
Mauritius,Soybeans,0.3,0.14,Non-Animal Products
Mauritius,Nuts inc. Peanut Butter,2.33,4.119999999999999,Non-Animal Products
Bulgaria,Pork,26.26,92.95,Animal Products
Bulgaria,Poultry,20.68,22.21,Animal Products
Bulgaria,Beef,3.84,118.49,Animal Products
Bulgaria,Lamb & Goat,1.63,57.08,Animal Products
Bulgaria,Fish,6.24,9.96,Animal Products
Bulgaria,Eggs,8.360000000000001,7.68,Animal Products
Bulgaria,Milk - inc. cheese,155.70999999999998,221.79,Animal Products
Bulgaria,Wheat and Wheat Products,121.17,23.110000000000003,Non-Animal Products
Bulgaria,Rice,2.24,2.87,Non-Animal Products
Bulgaria,Soybeans,0.04,0.02,Non-Animal Products
Bulgaria,Nuts inc. Peanut Butter,2.26,4.0,Non-Animal Products
Morocco,Pork,0.01,0.04,Animal Products
Morocco,Poultry,20.77,22.31,Animal Products
Morocco,Beef,8.04,248.1,Animal Products
Morocco,Lamb & Goat,4.359999999999999,152.69,Animal Products
Morocco,Fish,17.439999999999998,27.85,Animal Products
Morocco,Eggs,6.68,6.14,Animal Products
Morocco,Milk - inc. cheese,54.68,77.89,Animal Products
Morocco,Wheat and Wheat Products,179.7,34.27,Non-Animal Products
Morocco,Rice,1.1,1.41,Non-Animal Products
Morocco,Soybeans,0.0,0.0,Non-Animal Products
Morocco,Nuts inc. Peanut Butter,3.23,5.72,Non-Animal Products
Slovakia,Pork,31.78,112.49,Animal Products
Slovakia,Poultry,15.13,16.25,Animal Products
Slovakia,Beef,5.19,160.15,Animal Products
Slovakia,Lamb & Goat,0.16,5.6,Animal Products
Slovakia,Fish,8.39,13.4,Animal Products
Slovakia,Eggs,16.05,14.739999999999998,Animal Products
Slovakia,Milk - inc. cheese,143.14,203.89,Animal Products
Slovakia,Wheat and Wheat Products,123.62,23.57,Non-Animal Products
Slovakia,Rice,2.88,3.69,Non-Animal Products
Slovakia,Soybeans,0.02,0.01,Non-Animal Products
Slovakia,Nuts inc. Peanut Butter,3.7,6.55,Non-Animal Products
Niger,Pork,0.09,0.32,Animal Products
Niger,Poultry,1.08,1.16,Animal Products
Niger,Beef,8.97,276.8,Animal Products
Niger,Lamb & Goat,4.17,146.03,Animal Products
Niger,Fish,2.7,4.31,Animal Products
Niger,Eggs,0.3,0.28,Animal Products
Niger,Milk - inc. cheese,58.92,83.93,Animal Products
Niger,Wheat and Wheat Products,4.79,0.91,Non-Animal Products
Niger,Rice,13.17,16.85,Non-Animal Products
Niger,Soybeans,0.0,0.0,Non-Animal Products
Niger,Nuts inc. Peanut Butter,6.95,12.3,Non-Animal Products
Kenya,Pork,0.29,1.03,Animal Products
Kenya,Poultry,0.47,0.5,Animal Products
Kenya,Beef,9.54,294.38,Animal Products
Kenya,Lamb & Goat,1.86,65.14,Animal Products
Kenya,Fish,4.2700000000000005,6.819999999999999,Animal Products
Kenya,Eggs,1.84,1.6900000000000002,Animal Products
Kenya,Milk - inc. cheese,94.86,135.12,Animal Products
Kenya,Wheat and Wheat Products,34.65,6.609999999999999,Non-Animal Products
Kenya,Rice,12.94,16.56,Non-Animal Products
Kenya,Soybeans,0.2,0.09,Non-Animal Products
Kenya,Nuts inc. Peanut Butter,1.64,2.9,Non-Animal Products
Jordan,Pork,0.02,0.07,Animal Products
Jordan,Poultry,33.39,35.87,Animal Products
Jordan,Beef,5.609999999999999,173.11,Animal Products
Jordan,Lamb & Goat,5.68,198.91,Animal Products
Jordan,Fish,5.13,8.19,Animal Products
Jordan,Eggs,3.92,3.6,Animal Products
Jordan,Milk - inc. cheese,77.67999999999999,110.65,Animal Products
Jordan,Wheat and Wheat Products,136.73999999999998,26.08,Non-Animal Products
Jordan,Rice,19.67,25.17,Non-Animal Products
Jordan,Soybeans,0.02,0.01,Non-Animal Products
Jordan,Nuts inc. Peanut Butter,3.56,6.3,Non-Animal Products
Japan,Pork,20.62,72.98,Animal Products
Japan,Poultry,19.42,20.86,Animal Products
Japan,Beef,9.15,282.35,Animal Products
Japan,Lamb & Goat,0.14,4.9,Animal Products
Japan,Fish,31.1,49.66,Animal Products
Japan,Eggs,19.15,17.59,Animal Products
Japan,Milk - inc. cheese,72.06,102.64,Animal Products
Japan,Wheat and Wheat Products,45.04,8.59,Non-Animal Products
Japan,Rice,59.85,76.59,Non-Animal Products
Japan,Soybeans,7.34,3.3,Non-Animal Products
Japan,Nuts inc. Peanut Butter,2.59,4.58,Non-Animal Products
Georgia,Pork,8.93,31.610000000000003,Animal Products
Georgia,Poultry,12.28,13.19,Animal Products
Georgia,Beef,6.04,186.38,Animal Products
Georgia,Lamb & Goat,0.63,22.06,Animal Products
Georgia,Fish,10.42,16.64,Animal Products
Georgia,Eggs,6.119999999999999,5.619999999999999,Animal Products
Georgia,Milk - inc. cheese,149.26,212.61,Animal Products
Georgia,Wheat and Wheat Products,163.43,31.17,Non-Animal Products
Georgia,Rice,2.64,3.38,Non-Animal Products
Georgia,Soybeans,0.0,0.0,Non-Animal Products
Georgia,Nuts inc. Peanut Butter,2.47,4.37,Non-Animal Products
Grenada,Pork,11.52,40.78,Animal Products
Grenada,Poultry,43.51,46.74,Animal Products
Grenada,Beef,3.46,106.77,Animal Products
Grenada,Lamb & Goat,1.25,43.77,Animal Products
Grenada,Fish,27.95,44.63,Animal Products
Grenada,Eggs,10.34,9.5,Animal Products
Grenada,Milk - inc. cheese,86.88,123.75,Animal Products
Grenada,Wheat and Wheat Products,59.59,11.36,Non-Animal Products
Grenada,Rice,9.56,12.23,Non-Animal Products
Grenada,Soybeans,0.01,0.0,Non-Animal Products
Grenada,Nuts inc. Peanut Butter,0.18,0.32,Non-Animal Products
El Salvador,Pork,3.23,11.43,Animal Products
El Salvador,Poultry,19.84,21.31,Animal Products
El Salvador,Beef,5.95,183.6,Animal Products
El Salvador,Lamb & Goat,0.02,0.7,Animal Products
El Salvador,Fish,6.25,9.98,Animal Products
El Salvador,Eggs,9.51,8.739999999999998,Animal Products
El Salvador,Milk - inc. cheese,124.34,177.11,Animal Products
El Salvador,Wheat and Wheat Products,28.19,5.38,Non-Animal Products
El Salvador,Rice,10.53,13.48,Non-Animal Products
El Salvador,Soybeans,0.8,0.36,Non-Animal Products
El Salvador,Nuts inc. Peanut Butter,1.1,1.95,Non-Animal Products
Cuba,Pork,19.82,70.14999999999999,Animal Products
Cuba,Poultry,20.15,21.65,Animal Products
Cuba,Beef,6.39,197.18,Animal Products
Cuba,Lamb & Goat,1.24,43.42,Animal Products
Cuba,Fish,4.76,7.6,Animal Products
Cuba,Eggs,9.82,9.02,Animal Products
Cuba,Milk - inc. cheese,99.94,142.35000000000002,Animal Products
Cuba,Wheat and Wheat Products,54.620000000000005,10.42,Non-Animal Products
Cuba,Rice,67.7,86.64,Non-Animal Products
Cuba,Soybeans,6.34,2.85,Non-Animal Products
Cuba,Nuts inc. Peanut Butter,0.23,0.41,Non-Animal Products
China,Pork,38.43,136.02,Animal Products
China,Poultry,13.2,14.18,Animal Products
China,Beef,5.119999999999999,157.99,Animal Products
China,Lamb & Goat,3.13,109.61,Animal Products
China,Fish,21.01,33.55,Animal Products
China,Eggs,18.76,17.23,Animal Products
China,Milk - inc. cheese,32.660000000000004,46.52,Animal Products
China,Wheat and Wheat Products,63.36,12.08,Non-Animal Products
China,Rice,78.17999999999999,100.05,Non-Animal Products
China,Soybeans,3.66,1.65,Non-Animal Products
China,Nuts inc. Peanut Butter,6.39,11.31,Non-Animal Products
Honduras,Pork,6.48,22.94,Animal Products
Honduras,Poultry,20.29,21.8,Animal Products
Honduras,Beef,7.19,221.87,Animal Products
Honduras,Lamb & Goat,0.04,1.4,Animal Products
Honduras,Fish,2.7,4.31,Animal Products
Honduras,Eggs,5.19,4.7700000000000005,Animal Products
Honduras,Milk - inc. cheese,91.33,130.09,Animal Products
Honduras,Wheat and Wheat Products,37.36,7.119999999999999,Non-Animal Products
Honduras,Rice,14.42,18.45,Non-Animal Products
Honduras,Soybeans,0.01,0.0,Non-Animal Products
Honduras,Nuts inc. Peanut Butter,0.75,1.33,Non-Animal Products
Taiwan. ROC,Pork,39.37,139.35000000000002,Animal Products
Taiwan. ROC,Poultry,32.13,34.51,Animal Products
Taiwan. ROC,Beef,5.21,160.76999999999998,Animal Products
Taiwan. ROC,Lamb & Goat,0.92,32.220000000000006,Animal Products
Taiwan. ROC,Fish,18.29,29.2,Animal Products
Taiwan. ROC,Eggs,13.08,12.02,Animal Products
Taiwan. ROC,Milk - inc. cheese,41.720000000000006,59.43,Animal Products
Taiwan. ROC,Wheat and Wheat Products,50.92,9.71,Non-Animal Products
Taiwan. ROC,Rice,45.85,58.67,Non-Animal Products
Taiwan. ROC,Soybeans,16.95,7.63,Non-Animal Products
Taiwan. ROC,Nuts inc. Peanut Butter,9.06,16.04,Non-Animal Products
Angola,Pork,8.89,31.47,Animal Products
Angola,Poultry,17.330000000000002,18.62,Animal Products
Angola,Beef,8.42,259.82,Animal Products
Angola,Lamb & Goat,1.08,37.82,Animal Products
Angola,Fish,15.239999999999998,24.33,Animal Products
Angola,Eggs,1.11,1.02,Animal Products
Angola,Milk - inc. cheese,12.3,17.52,Animal Products
Angola,Wheat and Wheat Products,40.720000000000006,7.77,Non-Animal Products
Angola,Rice,8.12,10.39,Non-Animal Products
Angola,Soybeans,0.52,0.23,Non-Animal Products
Angola,Nuts inc. Peanut Butter,2.26,4.0,Non-Animal Products
Jamaica,Pork,3.99,14.12,Animal Products
Jamaica,Poultry,52.51,56.41,Animal Products
Jamaica,Beef,3.97,122.51,Animal Products
Jamaica,Lamb & Goat,1.26,44.13,Animal Products
Jamaica,Fish,21.95,35.05,Animal Products
Jamaica,Eggs,2.27,2.09,Animal Products
Jamaica,Milk - inc. cheese,91.13,129.81,Animal Products
Jamaica,Wheat and Wheat Products,70.66999999999999,13.48,Non-Animal Products
Jamaica,Rice,23.45,30.01,Non-Animal Products
Jamaica,Soybeans,0.0,0.0,Non-Animal Products
Jamaica,Nuts inc. Peanut Butter,1.82,3.22,Non-Animal Products
Namibia,Pork,4.21,14.9,Animal Products
Namibia,Poultry,12.19,13.09,Animal Products
Namibia,Beef,3.75,115.72,Animal Products
Namibia,Lamb & Goat,2.27,79.5,Animal Products
Namibia,Fish,10.7,17.08,Animal Products
Namibia,Eggs,1.63,1.5,Animal Products
Namibia,Milk - inc. cheese,73.05,104.05,Animal Products
Namibia,Wheat and Wheat Products,36.260000000000005,6.91,Non-Animal Products
Namibia,Rice,6.31,8.07,Non-Animal Products
Namibia,Soybeans,0.07,0.03,Non-Animal Products
Namibia,Nuts inc. Peanut Butter,0.71,1.26,Non-Animal Products
Belize,Pork,16.8,59.46,Animal Products
Belize,Poultry,28.31,30.41,Animal Products
Belize,Beef,4.859999999999999,149.97,Animal Products
Belize,Lamb & Goat,0.14,4.9,Animal Products
Belize,Fish,7.57,12.09,Animal Products
Belize,Eggs,4.85,4.46,Animal Products
Belize,Milk - inc. cheese,80.3,114.38,Animal Products
Belize,Wheat and Wheat Products,54.06,10.31,Non-Animal Products
Belize,Rice,28.42,36.37,Non-Animal Products
Belize,Soybeans,1.88,0.8500000000000001,Non-Animal Products
Belize,Nuts inc. Peanut Butter,5.58,9.88,Non-Animal Products
Malaysia,Pork,7.76,27.47,Animal Products
Malaysia,Poultry,41.01,44.05,Animal Products
Malaysia,Beef,6.52,201.19,Animal Products
Malaysia,Lamb & Goat,0.94,32.92,Animal Products
Malaysia,Fish,49.43,78.92,Animal Products
Malaysia,Eggs,16.57,15.22,Animal Products
