country,category,co2_emmission
Albania,Animal Products,1733.73
Albania,Non-Animal Products,44.120000000000005
Algeria,Animal Products,665.04
Algeria,Non-Animal Products,42.839999999999996
Angola,Animal Products,390.6
Angola,Non-Animal Products,22.39
Argentina,Animal Products,2140.65
Argentina,Non-Animal Products,31.75
Armenia,Animal Products,1076.44
Armenia,Non-Animal Products,33.49
Australia,Animal Products,1895.56
Australia,Non-Animal Products,43.099999999999994
Austria,Animal Products,1176.08
Austria,Non-Animal Products,35.08
Bahamas,Animal Products,1147.44
Bahamas,Non-Animal Products,45.46
Bangladesh,Animal Products,149.55
Bangladesh,Non-Animal Products,224.63
Barbados,Animal Products,849.13
Barbados,Non-Animal Products,39.98
Belarus,Animal Products,938.54
Belarus,Non-Animal Products,21.68
Belgium,Animal Products,1056.74
Belgium,Non-Animal Products,45.35
Belize,Animal Products,375.67
Belize,Non-Animal Products,57.41
Bermuda,Animal Products,1455.71
Bermuda,Non-Animal Products,27.57
Bolivia,Animal Products,812.75
Bolivia,Non-Animal Products,60.28
Bosnia and Herzegovina,Animal Products,603.72
Bosnia and Herzegovina,Non-Animal Products,24.46
Botswana,Animal Products,558.0999999999999
Botswana,Non-Animal Products,18.740000000000002
Brazil,Animal Products,1562.6799999999998
Brazil,Non-Animal Products,54.050000000000004
Bulgaria,Animal Products,530.16
Bulgaria,Non-Animal Products,30.000000000000004
Cambodia,Animal Products,244.13
Cambodia,Non-Animal Products,208.28
Cameroon,Animal Products,232.05
Cameroon,Non-Animal Products,51.559999999999995
Canada,Animal Products,1390.17
Canada,Non-Animal Products,46.99
Chile,Animal Products,1064.32
Chile,Non-Animal Products,35.25
China,Animal Products,515.1
China,Non-Animal Products,125.09
Colombia,Animal Products,738.8499999999999
Colombia,Non-Animal Products,42.68
Congo,Animal Products,228.32999999999998
Congo,Non-Animal Products,34.220000000000006
Costa Rica,Animal Products,822.1700000000001
Costa Rica,Non-Animal Products,69.1
Croatia,Animal Products,965.5699999999999
Croatia,Non-Animal Products,30.58
Cuba,Animal Products,491.37
Cuba,Non-Animal Products,100.32000000000001
Cyprus,Animal Products,711.01
Cyprus,Non-Animal Products,30.36
Czech Republic,Animal Products,731.55
Czech Republic,Non-Animal Products,28.540000000000003
Denmark,Animal Products,1462.62
Denmark,Non-Animal Products,35.56
Ecuador,Animal Products,817.0
Ecuador,Non-Animal Products,66.88
Egypt,Animal Products,591.52
Egypt,Non-Animal Products,82.4
El Salvador,Animal Products,412.87
El Salvador,Non-Animal Products,21.169999999999998
Estonia,Animal Products,802.79
Estonia,Non-Animal Products,27.93
Ethiopia,Animal Products,230.74
Ethiopia,Non-Animal Products,11.18
Fiji,Animal Products,639.2099999999999
Fiji,Non-Animal Products,76.88000000000001
Finland,Animal Products,1437.22
Finland,Non-Animal Products,27.41
France,Animal Products,1383.5700000000002
France,Non-Animal Products,36.48
French Polynesia,Animal Products,1361.56
French Polynesia,Non-Animal Products,63.13
Gambia,Animal Products,197.95999999999998
Gambia,Non-Animal Products,95.7
Georgia,Animal Products,488.11
Georgia,Non-Animal Products,38.92
Germany,Animal Products,1031.62
Germany,Non-Animal Products,34.67
Ghana,Animal Products,164.28
Ghana,Non-Animal Products,53.59
Greece,Animal Products,1446.54
Greece,Non-Animal Products,50.75
Grenada,Animal Products,415.94
Grenada,Non-Animal Products,23.91
Guatemala,Animal Products,297.21000000000004
Guatemala,Non-Animal Products,17.77
Guinea,Animal Products,297.56
Guinea,Non-Animal Products,135.15
Honduras,Animal Products,407.18
Honduras,Non-Animal Products,26.9
Hong Kong SAR. China,Animal Products,1402.81
Hong Kong SAR. China,Non-Animal Products,91.47
Hungary,Animal Products,551.94
Hungary,Non-Animal Products,24.849999999999998
Iceland,Animal Products,1705.55
Iceland,Non-Animal Products,25.810000000000002
India,Animal Products,178.56
India,Non-Animal Products,104.06
Indonesia,Animal Products,181.18
Indonesia,Non-Animal Products,186.32999999999998
Iran,Animal Products,356.18
Iran,Non-Animal Products,89.08999999999999
Ireland,Animal Products,1427.8700000000001
Ireland,Non-Animal Products,31.8
Israel,Animal Products,1349.3600000000001
Israel,Non-Animal Products,56.35
Italy,Animal Products,1157.56
Italy,Non-Animal Products,48.769999999999996
Jamaica,Animal Products,404.12
Jamaica,Non-Animal Products,46.71
Japan,Animal Products,550.98
Japan,Non-Animal Products,93.06
Jordan,Animal Products,530.4
Jordan,Non-Animal Products,57.56
Kazakhstan,Animal Products,1539.0
Kazakhstan,Non-Animal Products,36.08
Kenya,Animal Products,504.67999999999995
Kenya,Non-Animal Products,26.159999999999997
Kuwait,Animal Products,1261.6100000000001
Kuwait,Non-Animal Products,83.83000000000001
Latvia,Animal Products,610.28
Latvia,Non-Animal Products,23.3
Liberia,Animal Products,77.44
Liberia,Non-Animal Products,125.94
Lithuania,Animal Products,838.0
Lithuania,Non-Animal Products,30.900000000000002
Luxembourg,Animal Products,1571.69
Luxembourg,Non-Animal Products,26.72
Macedonia,Animal Products,566.5600000000001
Macedonia,Non-Animal Products,34.19
Madagascar,Animal Products,307.2
Madagascar,Non-Animal Products,133.54999999999998
Malawi,Animal Products,189.84
Malawi,Non-Animal Products,18.1
Malaysia,Animal Products,435.78
Malaysia,Non-Animal Products,118.86000000000001
Maldives,Animal Products,795.6
Maldives,Non-Animal Products,107.86
Malta,Animal Products,1104.97
Malta,Non-Animal Products,42.94
Mauritius,Animal Products,587.77
Mauritius,Non-Animal Products,84.3
Mexico,Animal Products,778.75
Mexico,Non-Animal Products,18.38
Morocco,Animal Products,535.02
Morocco,Non-Animal Products,41.400000000000006
Mozambique,Animal Products,104.02000000000001
Mozambique,Non-Animal Products,37.379999999999995
Myanmar,Animal Products,384.53
Myanmar,Non-Animal Products,179.26999999999998
Namibia,Animal Products,345.84000000000003
Namibia,Non-Animal Products,16.27
Nepal,Animal Products,400.03000000000003
Nepal,Non-Animal Products,126.19000000000001
Netherlands,Animal Products,1261.59
Netherlands,Non-Animal Products,31.230000000000004
New Caledonia,Animal Products,875.1800000000001
New Caledonia,Non-Animal Products,43.44
New Zealand,Animal Products,1709.81
New Zealand,Non-Animal Products,41.14
Nicaragua,Animal Products,312.69
Nicaragua,Non-Animal Products,65.0
Niger,Animal Products,512.83
Niger,Non-Animal Products,30.060000000000002
Nigeria,Animal Products,214.25
Nigeria,Non-Animal Products,53.54
Norway,Animal Products,1348.3899999999999
Norway,Non-Animal Products,33.5
Oman,Animal Products,1209.05
Oman,Non-Animal Products,87.64999999999999
Pakistan,Animal Products,630.25
Pakistan,Non-Animal Products,38.82
Panama,Animal Products,832.5799999999999
Panama,Non-Animal Products,95.88000000000001
Paraguay,Animal Products,861.5500000000001
Paraguay,Non-Animal Products,15.120000000000001
Peru,Animal Products,327.67
Peru,Non-Animal Products,75.17
Philippines,Animal Products,294.33
Philippines,Non-Animal Products,160.95000000000002
Poland,Animal Products,581.45
Poland,Non-Animal Products,25.95
Portugal,Animal Products,1130.3600000000001
Portugal,Non-Animal Products,43.919999999999995
Romania,Animal Products,734.08
Romania,Non-Animal Products,32.22
Russia,Animal Products,973.76
Russia,Non-Animal Products,33.9
Rwanda,Animal Products,166.44
Rwanda,Non-Animal Products,15.190000000000001
Saudi Arabia,Animal Products,623.97
Saudi Arabia,Non-Animal Products,68.89
Senegal,Animal Products,362.67
Senegal,Non-Animal Products,106.76
Serbia,Animal Products,695.73
Serbia,Non-Animal Products,27.61
Sierra Leone,Animal Products,156.7
Sierra Leone,Non-Animal Products,143.70999999999998
Slovakia,Animal Products,526.52
Slovakia,Non-Animal Products,33.82
Slovenia,Animal Products,1077.1000000000001
Slovenia,Non-Animal Products,34.46
South Africa,Animal Products,856.25
South Africa,Non-Animal Products,36.16
South Korea,Animal Products,690.95
South Korea,Non-Animal Products,131.1
Spain,Animal Products,946.74
Spain,Non-Animal Products,41.73
Sri Lanka,Animal Products,145.06
Sri Lanka,Non-Animal Products,149.4
Swaziland,Animal Products,633.14
Swaziland,Non-Animal Products,45.8
Sweden,Animal Products,1493.13
Sweden,Non-Animal Products,33.9
Switzerland,Animal Products,1319.96
Switzerland,Non-Animal Products,36.79
Taiwan. ROC,Animal Products,467.5
Taiwan. ROC,Non-Animal Products,92.05
Tanzania,Animal Products,302.56
Tanzania,Non-Animal Products,40.46
Thailand,Animal Products,225.68
Thailand,Non-Animal Products,152.32000000000002
Togo,Animal Products,146.02
Togo,Non-Animal Products,42.07000000000001
Trinidad and Tobago,Animal Products,565.54
Trinidad and Tobago,Non-Animal Products,44.87
Tunisia,Animal Products,567.79
Tunisia,Non-Animal Products,51.099999999999994
Turkey,Animal Products,835.98
Turkey,Non-Animal Products,61.029999999999994
United States of America,Animal Products,1680.79
United States of America,Non-Animal Products,38.07
Uganda,Animal Products,290.18000000000006
Uganda,Non-Animal Products,14.54
Ukraine,Animal Products,637.0899999999999
Ukraine,Non-Animal Products,28.64
United Arab Emirates,Animal Products,765.22
United Arab Emirates,Non-Animal Products,132.1
United Kingdom,Animal Products,1207.2199999999998
United Kingdom,Non-Animal Products,34.41
Uruguay,Animal Products,1597.6599999999999
Uruguay,Non-Animal Products,37.25
Venezuela,Animal Products,1064.1699999999998
Venezuela,Non-Animal Products,39.93
Vietnam,Animal Products,440.81
Vietnam,Non-Animal Products,200.70000000000002
Zambia,Animal Products,206.88000000000002
Zambia,Non-Animal Products,18.42
Zimbabwe,Animal Products,327.28
Zimbabwe,Non-Animal Products,23.05
